drugName,condition,review,rating,predicted_rating,generated_summary,identified_sentiment
Levothyroxine,Hashimoto's disease,"I have been depressed for almost 3 years, could not get enough sleep, was no fun, slept all the time, had no interest in anything anymore, felt like I was in a cloud most of the time, had vibrations in my thyroid, have gained 40 pounds. I started to take this medicine 3 DAYS ago and I feel like a different person- the old me. Everyone is commenting on how different I am. My body must have been so depleted of the thyroid hormone for years, and my body was not working right. If this gets better and better my life is going to change! I am so happy!",10,10,Life-changing relief from severe symptoms with rapid improvement.,positive
Bromocriptine,Hyperprolactinemia,"Just started Bromocriptine 2.5 mg. Took the pill around 9:30pm and was OK for an hour or so (mild cramping), went to sleep and woke up around 4a.m I could not see my vision was completely distorted, the room was spinning, my legs and my arms felt like jello and I swore I could smell and taste the pill. Scariest experience ever. Next day still have pounding head ache and dizziness. Do not recommend this medication. Had better luck with the Cabergoline (although health coverage doesn't cover it - you bet I'll be paying the monthly fee for no side effects).",1,1,Severe side effects; do not recommend.,negative
Silver sulfadiazine,"Burns, External","Hot liquid (tomatoes, oil, spices) splashed right onto my cheek as I turned the blender on. Instant second degree superficial burns (blisters) on at least 10 different spots. Was prescribed 1% Silver Sulfadiazine at urgent care. Immediately calmed my skin in a matter of minutes. Every time I applied it, there was a cooling effect. Healed every single blister in 5 days. The blister fluid was resorbed into my body and the top layer turned light brown and eventually sloughed off as I washed my face every morning with Cetaphil soap. 0 scarring, except for one spot that is still pink (5th day today). This was where the skin peeled off as I tried to wash my face. The results are dramatic. Wish this were OTC.",10,8,Effective burn treatment with quick relief and mild peeling.,positive
Vardenafil,Erectile Dysfunction,"Many men complain of mild stuffiness, headaches, nausea, palpitations, etc. Advice: Try lower doses until the effect isn't enough. Example: My Doc gave me a few 20mg Levitra to try out. Did that. Love it but: WHOA! Way too strong for me. Stuffy nose, mild pulse racing, mild headache. 1. Cut dose by half, still a bit much for me, as side effects persisted to some degree. 2. Cut dose in half again, JUST RIGHT! Side effects almost un-noticible. Same with Vardenifil. Sometimes all I need is a small 'chip' of it to get'er done. Dissolve under tongue.",8,8,Effective with manageable side effects at lower doses.,positive
Vyvanse,ADHD,"My son is 13 and has been on several ADHD medications. I liked the Vyvance at first because I did see an improvement in his ability to sit and listen and pay attention, however it didn't last long enough. The doctor has increased the dosage several time and now he is up to 60mg daily. The problem is that he has lost over 20lbs because he simply won't eat and now it seems after four months on this medicine its like his body has adapted to it and he is super hyper. I spoke to the doctor about it and he said he can do real damage at his age with the weight loss and not eating and that the stimulant is actually wiring him up. We are going to take him off of the Vyvanse and put him on a non stimulant medication.",5,5,"Effective initially, now causing severe side effects.",negative
Alprazolam,Not Listed / Othe,"I`ve had Ulcerative Colitis (U.C) since I was 17. At the age of 25 I thought I was having a heart attack and went to the emergency room. I was diagnosed with a panic attack ,they gave me a XANAX (1mg). No more heart attack. Told my doctor the story and with my history of U.C he prescribed 2mg a day. I'm now 37 years young and XANAX freed the tyranny of two debilitating conditions.",10,8,Effective for panic attacks and ulcerative colitis.,positive
Vyvanse,ADHD,I started on the medication and it worked fine. A month later if i didn't take it i would get huge mood swings and usually start crying about everything. in those mood swings i usually felt like i was worthless and couldn't do any thing right.,4,5,"Effective initially, but causes severe mood swings and negative emotions.",negative
Imiquimod,Human Papilloma Virus,"Hi, im a male, 23 yo. Was fighting with warts in my perineum area for almost 2 years. I tried to burn them in my home with a pc air duster (if you sprayed it upside down it sprays a very cold subtance, like nitrogen but weaker) and it works but it can give you marks and after some time the warts grew again. I was really scared so i tried imiquimod (I'm from Peru, here you can find it with the name imimore). I applied a really tiny amount of cream before sleeping 3x a week for like 12 weeks and didn't notice any improvement, so I switch to apply every day and it magically start working, my skin get a little irritated and itched a bit but never had pain or drastic side effects. Now its been 16 weeks and I'm clean! MY ADVISE, BE PATIENT",9,10,Effective treatment for warts with minimal side effects.,positive
Terbinafine,Tinea Pedis,"I had severe tinea on my feet for years until I went to a dermatologist who prescribed this medicine. I could not even wear summer sandals my feet were so dry and rashy. For the first week of taking terbinafine I felt very nauseous and dizzy and nearly stopped taking it, however I have seen an amazing improvement in my feet lately. I was also prescribed 10% Beta steroid cream in a cetamacrogol moisturiser to put on every day. I reckon the terbinafine has helped my overall health and skin.",10,8,Effective treatment for tinea pedis with minor nausea.,positive
Apremilast,Plaque Psoriasis,I have been on this for 5 weeks. No side effects. No benefits whatsoever.,1,1,No benefits; no side effects.,negative
Lorazepam,Not Listed / Othe,"When I had my panic attack my blood pressure was 182/164. I really thought I was going to die. I'm only 18 but I was very stressed out. My family doctor put me on Ativan 0.5mg 3 times a day and all I can say is ""wow"" it has helped me so much.",10,10,Effective panic attack treatment with no side effects.,positive
Implanon,Birth Control,The depression I suffered with the implanon was scary. Until I had it removed I had no idea what a horrid grip it had on my emotions. I wanted to die most of the time. As soon as It came out I cried almost non stop for a few days and then started feeling better. Almost back to my normal self now. Thank goodness.,3,1,Severe depression and suicidal thoughts with Implanon removal.,negative
Nexplanon,Birth Control,"Not been on for long but mainly got it for PMDD symptoms - which are very similar to the mood swings effects of Nexplanon. I feel amazing. I was so scared to have it done but it didn't hurt to get it in - but the bruises were unsightly and meant I had to wear long sleeved tops for a week. Only side effects for me are occasional headaches, more spots (solved by daily facewash), dry throat, appetite, and similar to Irritable Bowel Syndrome symptoms but all solved by boosting blood sugar. Spotting isn't a problem as long as you remember to carry pantyliners. This is nothing compared to my past problems, very happy - but yet to see if it prevents pregnancy!",8,8,Effective for PMDD with minor side effects.,positive
Clobetasol,Psoriasis,It works because it has steroids. Steroids reboot the immune system. Steroids can also cause problems so use as little as possible. .. you will figure it out.,9,5,Effective for psoriasis with steroid concerns.,negative
Prozac,Depression,"I've been on Prozac for 17 years, and it's still a miracle drug for me. It definitely saved my life. I tried going off of it, and that was a mistake. Fortunately, it still works for me.",9,10,Miracle drug for long-term depression management.,positive
Nardil,Depression,"I took Nardil for 21 years. It worked better than anything else, until the dose was increased from 10 to 40 mg per day. None of my physicians were able to diagnose the cause of the grotesque swelling of my legs. A friend suggested it might be the Nardil; I quit taking it and proved her right. Even in reduced doses, the swelling persisted. I now take something else.",2,5,Effective for years but caused leg swelling.,negative
Clonazepam,Insomnia,"I have been taking 2mg for 2 years. My initial dose was 0.5 mg, but until I took 2mg it would not help me sleep. If I have an extremely stressful afternoon/evening, my doc said I could take 2 tabs (4mg), as long as I don’t take that dose more than twice a month and not on consecutive days. I get between 6 1/2 - 8 hours of great sleep per night and feel very rested and energetic each day. I am a very active, athletic person and feel no hangover effect from it. I just feel like I have my life back after sleeping no more than 3 hours per night for 8 years. I have a friend who has taken it for 8 years with the same results as me. Neither of us take any other medication.",10,10,Life-changing insomnia relief with no side effects.,positive
Metoprolol,Atrial Fibrillation,"I take 100mg twice a day with no issues since I was found with atrial fibrillation. Before I was taking Coreq and my resting heartbeat was always 43, now with this medicine it's 45 to 50 and my cardiologist says all is fine have a pacemaker and defibrillator.",9,8,Effective in managing atrial fibrillation with minor side effects.,positive
Bupropion / naltrexone,Obesity,"I have been on this med just over 3 weeks. I initially was put off by the side effects (feeling a bit off, nausea, body aches) so started at one tab every other day. That seemed to make the transition better. But still not without side effects. The worst of which are: dry mouth (which helps up water intake so not too bad), hot flashes (which are NOT fun but manageable ), and constipation (the worst of them all and nothing I do seems to help). But to date I have just hit my 10 lb lost mark! Within the first few days I could walk by cakes or donuts that were brought in to work and it was like it didn't even register as ""food"" in my mind. Cravings for soda and junk are gone and I can eat very little to feel full.",9,5,Partial weight loss with manageable side effects.,negative
Citalopram,Depression,"I'm 24 and have struggled with major depression since I was 14, with past self harm, eating disorders and suicide attempts. I started citalopram just over a year ago and take 40mg per day. I have found it has really helped me. The biggest side effect for me is the tiredness and fatigue, I am very sporty and a fitness instructor so this has a huge effect on my motivation and training. I also find it affects my university studies. Although on the flipside I actually feel normal and rarely have suicidal thoughts or feelings of hopelessness. So I guess the tiredness is worth it. Oh and I have CRAZY dreams!",7,8,Effective for depression with manageable fatigue side effect.,positive
Fingolimod,Multiple Sclerosis,"Have been on Gilenya just shy of 2 years with no relapses. My last MRI showed no new lesions, no active lesions, and some lesions decreasing in size. I love this medicine in that it allows me to be in denial about my MS. Prior to starting Gilenya, I was on Copaxone for 3 years, which was less effective, and during that time I experienced 5-6 immediate post-injection reactions that were scary and exhausting. My neurologist told me that Gilenya will change the way we think about MS. I'm looking forward to long term data on Gilenya's effectiveness, and enjoying life in spite of my diagnosis. This medicine works for me.",10,8,Effective MS treatment with no recent relapses.,positive
Delsym,Cough,Effective at stopping cough - gave me diarrhea.,5,8,Effective cough treatment with notable diarrhea.,positive
Melatonin,Insomnia,"I have Delayed Sleep Phase Disorder. When it works, it works great. When it doesn't, it's difficult. I have noticed that if I do not fall asleep within 30 minutes of taking melatonin, I end up tossing and turning for most of the night. The worst part is I feel as though I have to constantly stretch my legs.",6,5,"Effective when it works, but causes leg stretching and tossing/turning.",negative
Byetta,"Diabetes, Type 2",I started using Byetta 5 months ago and so far it has been the most amazing experience I have ever had before Byetta I was always so tired and not motivated at all to exercise and take care of myself. I was on Actos and I strongly believe that drug was slowly killing me. I have only lost a couple of pounds so far but everything else seems to be in control and I feel like a totally new person. After this pen is finished I move up to 10 and I really hope I don't get any of the side effects because the 5 has been wonderful but if I do get the side effects I will go back to the 5 and enjoy life again. Thanks Byetta,10,8,Effective for improving energy and motivation in Type 2 diabetes.,positive
Ethinyl estradiol / levonorgestrel,Abnormal Uterine Bleeding,"I've been on this medicine for a little over two years. I started taking it to help with my acne. That's the one thing that's been consistent about it. When I started it in 2013, I bled for a month which was normal and then I stopped. It worked really well (only one period every three months) for about a year. Then my pharmacy gave me generic which screwed everything up. I broke out, bled heavily, and my hormones went crazy. After two weeks on generic I was forced to pay the fee to get the name brand back. Since then it hasn't been the same. My obgyn says it is because my body is immune to it. I start bleeding two weeks into the pack, spot all the way until my period, and then the process starts all over again. I have gained 20 pounds...",4,1,Severe side effects and inconsistent efficacy with generic version.,negative
Oxybutynin,Urinary Incontinence,"Did no one else experience what happened to me? I started on Oxybutynin 5 mg twice a day (oral); there was a significant improvement in bladder control. I used less pads and thinner-type pads. HOWEVER, the side effect I experienced was exceedingly annoying: my nose stayed stuffed up constantly; I'd wake up with cotton mouth; lips cracked and bleeding from not being able to breathe through my nose. It took a large application of Vicks Vaporub into my nostrils; pouring of hot water into them; holding hot washcloths on my sinuses for an hour at a time; and using inordinate amounts of saline sinus spray to finally clear my nose. When I stopped taking Oxybutynin, my nose became clear within a few days. Never again will I use Oxybutynin.",5,5,Effective for urinary incontinence with severe nasal congestion side effect.,negative
Etonogestrel,Birth Control,"I gave this a low rating as it has been the worst experience for me. I have my period 2-3 weeks out of every month and some months I have it the entire month. I get cramping for a week out of it. It is very effective as the ""birth"" control part of it. I've had it for almost 3 years and am due to get it removed soon. I waited this long because I didn't want to have to pay to remove it and figure something else out. No birth control has been great for me. So disappointing.",3,1,Severe side effects with no significant benefit.,negative
Fentora,Breakthrough Pain,"I have MS and one of my symptoms is severe pain with muscle spasms. It gets so bad as to completely debilitate me where I am unable to stand, sit for long periods of time and walk up or down stairs. This medication is life saving for me. It has allowed me to return my functioning so that I am mobile again. I can walk up stairs, work out for short periods of time and live a fairly functional life were I can go to the store, walk around and attend family functions.",10,10,"Life-saving for MS-related severe pain, allowing improved mobility.",positive
Doxycycline,Acne,Was prescribed Doxy for unrelated condition. Face began clearing of redness within the first week. Almost normal by second. Didn't expect this!,9,8,Rapidly cleared acne redness.,positive
Leuprolide,Prostate Cance,"I have advanced prostrate cancer and have found that when I stop or delay a 90-day injection, my PSA climbs. From June 2010 (PSA over 350) through Jan 2013 (PSA 9) my cancer was controlled. I suspended the shots for 18 months due to cost and my PSA climbed to 270. In 5 months, my PSA is at 4.2.",10,8,Effective for prostate cancer control with potential risks upon discontinuation.,positive
Tiotropium,"COPD, Maintenance","Hello everyone; Let me say that upon using Spiriva the first time I noticed that I no longer have severe breathlessness (which developed from Pneumonia July 2012 fro surgery complications). Let me also say IMPORTANTLY if anyone has bronchitis in the lungs to please do whatever necessary to clear it up, if anyone smokes QUIT! Don't wait like I did to have a dangerous bronchial attack, in my case I was at the E.R to get a jet-nab treatment when it hit, was told had I been away from the hospital I wouldn't have survived, since that night 10/19/2011 I haven't touched one cigarette, not even one drag. I also concur that I'm not having to use my albuterol like I was.",10,10,"Effective breathlessness relief, quit smoking.",positive
Tamsulosin,Benign Prostatic Hyperplasia,"Within one day the frequent urination and restricted flow greatly improved , feel like I'm back to normal, thank goodness",10,8,Effective relief of frequent urination and restricted flow.,positive
Methadone,Opiate Withdrawal,"I've been on Methadone for 3.5 years. Currently at 90mg. I only have to go to the clinic every 2 weeks. When I started on it at the clinic I was in severe withdrawal. I never did heroine. I got methadone from a friend who went to the clinic weekly. After I was hooked it was all over for me. I had NO IDEA that it was that addictive until he was cut off and I could no longer get it. I only took about 20-30 mg a day then. But when he was cut off, I didn't know what to do. The withdrawal was just so awful and I still had to go to work full time.If I could do it over again, I would just suck it up. Now I have this ball n chain and no end in sight. I had 2 kids on it too so I get to live with that guilt too. Don't do it as a 1st resort.Just DONT",5,1,Severe addiction with no end in sight.,negative
Ramipril,High Blood Pressure,"I have had fibomyalgia for 20 years, I had become so ill l with it all, and with zero mobility, my weight had raised to 23 stone. A new doctor tried Ramipril on me and has been a miracle from above, have improved mobility and it made me loose my appetite and have lost two stones in 3 months.",10,10,"Miracle drug for fibromyalgia, improved mobility and weight loss.",positive
Cymbalta,Depression,"I had been suffering from depression, suicidal thoughts & tendencies anxiety and nerve damage. I went to a doctor who prescribed me cymbalta and I started on 30 mg. I was on it for about 1 week and I noticed I wasnt eating. I would have to tell myself to eat because I could go a whole day without eating anything. I noticed I did feel a little bit better in my ways but it wasnt enough to keep me motivated to do anything. So the second week I was put on 60 mg. I can say I have never been this motivated ever with school work going out with friends trying new things and actually participating in school. Im 4 weeks in now & ive never been better. Downsides: restlessness waking from sleep jitters and waves of feeling hyper.",8,8,Effective for depression with manageable side effects.,positive
Toviaz,Overactive Bladde,"My urologist prescribed Toviaz 8mg timed release for symptoms of OAB (frequency, constant urge, etc.). I took it everyday for 25 days. I noticed a very small difference in frequency during the night, but nothing major. In the morning, I would actually have a stronger urge than before. After about 2 weeks on it, I started to feel very dizzy. I thought it was a cold or a migraine and kept taking the medication. After about a week of extreme dizziness and feeling slightly nauseous because of it, I realized it must have been the Toviaz. I stopped taking it and the dizziness passed within 24 hours. Also my mind cleared and I realized I had major brain fog on it. No other side effects though. Just not worth it for me. Perhaps I'll try again later",2,3,Minor symptom relief with severe side effects not worth it.,negative
Diamox Sequels,Pseudotumor Cerebri,"I was experiencing blurred vision, fatigue, loss of appetite, lack of concentration and an increased amount of severe headaches. After being checked for everything under the sun in blood work I was told I was fine. About a month later the headaches and the memory and concentration issues came along with more asthma attacks. My neurologist sent me for MRI, MRA and EEG nothing. He then sent me for a spinal tap which revealed I had pressure in my head double the normal. This happened on Wednesday April 21st, 2010 (last week). I received a phone call from my neurologist who said I needed to start taking the medication immediately. I have had no appetite, consistent nausea, and I throw up on a regular basis. So I deal with it or have a shunt.",7,1,Severe side effects requiring shunt placement.,negative
Multivitamin,Dietary Supplementation,This is a terrible drug should not be sold it says light diaherria not true... It causes lots of severe stomach issues and terrible stools it's horrible don't ever use it,1,1,Severe stomach issues and terrible stools; do not use.,negative
Necon 1 / 35,Endometriosis,"I'm on my 2nd round of necon 1/35. I started taking it because the doctor thinks I have endometriosis, but no one is really sure. My periods are extremely painful and I lose my appetite completely. The side effects of necon are the same as symptoms of pregnancy which is kind of alarming. I'm also even more depressed and anxious than I was before I started taking it. I take it without the placebo week and my period was lighter but longer. It's been two weeks and I've still had terrible pain.",2,2,"Severe pain, anxiety, and alarming side effects with no clear",negative
Trintellix,Depression,This Medication is good. Feel so good that I do not feel the need to eat emotionally. I care about myself again and I feel no need to eat poorly. The only problem I am having is the side effects of being super itchy and I do get constipated.,9,8,Effective for depression with minor side effects.,positive
Prednisone,Asthma,"I wish I could give this medication zero stars, and I am an RN. Prednisone has ruined my life. I was given prednisone for a severe viral lung infection (I have asthma) back in August 2016; I had a 104F fever for a week and lost almost 15 lbs. The doctor (with horrible bedside manner) had pressured me to take Prednisone (60 mg) in the office ...even-though I only came in for an I.V., due to severe dehydration. I was started on 60 mg (and was supposed to take 40 mg for the next 5 days). Little did I know that it can cause mania and psychosis (I have a history of depression). By the 2nd day I couldn't sleep (I kept talking, cleaning, and writing poetry) and had a manic episode, due to steroid psychosis (and I don't have a history of bipolar disorder). No one in my family knew what was wrong with me. I am WARNING any of you with a psychiatric history to avoid this medication and oral steroids at all costs. Due to taking Prednisone, I lost a full-year college scholarship (I'm studying laboratory science)... (due to being hospitalized) and my housing. I also lost a ton of hair, and it is super thin now. I had to be hospitalized 3 times in the span of the year due to this med causing suicidal depression after the manic episode. It is depressing that I lost so much money due to copay medical bills amounting to 5k, and I cannot sue the doctor/outpatient clinic for the lost money and time, and my housing (was asked to move out due to mania/steroid psychosis). I will never take another oral steroid (even if I am on the brink of dying and I'd rather die instead). Taking prednisone has resulted in so much embarrassment and humiliation for myself. I have no idea what's worse...the 104F fever and coughing, or taking this medication. Take this medication at your own risk. DON'T LET ANY DOCTOR/FACILITY PRESSURE YOU INTO TAKING PREDNISONE OR STEROIDS.",1,1,Severe side effects and life-altering consequences from prednisone.,negative
Etonogestrel,Birth Control,I had this birth control since March 30th 2015 and on April 9th the non stop bleeding started it is now June 6th and I'm still bleeding so my love and sex life has gone out the window but my boyfriend is very supportive . Other then the bleeding I am fine I just hope the bleeding goes away I might have to start the pill for a while,8,5,Severe persistent bleeding affecting sex life.,negative
Methylphenidate,Depression,"The only disappointments I've had with my Concerta (methylphenidate extended release) are its high cost and its propensity to become ineffective after one to two years. Otherwise, this is an excellent drug that should be used more often for difficult depression. It's made me feel like a functional human being again.",9,8,Effective treatment with notable drawbacks.,positive
Azithromycin,Bacterial Infection,Bronchitis - Worked fast.,10,8,Effective bronchitis treatment with quick relief.,positive
Ciclopirox,"Onychomycosis, Toenail",It has shown some improvement in overall clearing of big toenail. But after 6 months there are large pockets near the base of the nail showing no effects.,7,5,Some improvement but persistent issues.,negative
Clonidine,Perimenopausal Symptoms,Almost 100 % reduction in hot flashes. Thank god!,10,10,Effective treatment for severe hot flashes.,positive
Sertraline,Depression,"I was very depressed during and after my pregnancy. Finally I found a good doctor and she prescribed Zoloft. I felt the difference from the beginning. I had some side effects but nothing major, however the only complaint I have is the weight gain. I take 25mg daily, a very low dose but I am getting very heavy. I've been taking Zoloft for almost 2 years and feel okay but not cured.",8,8,Effective for depression with manageable weight gain.,positive
Metronidazole,Bacterial Vaginitis,"These pills made me unimaginably tired! I could barely hold my eyes open at work the entire week, no matter how much sleep I got. They also taste awful & messed with my bowels a bit. Cleared up the odor & itch which is awesome:) Thankful to be fresh and able to drink again!!!",9,5,Effective against odor/itch but caused severe fatigue and bowel issues.,negative
Phentermine,Weight Loss,I started phentermine on 8/29/2015. I started at 194 and am 5'6. As of today I am down to 172 and from a size 15 down to size 8. I would recommend this to anyone who wants a kick start to health. Meaning after the pill does what it needs to do you need to continue this life style change. Highly Recommended! I still have 20 more pounds to go and looking forward to it!!,10,8,Effective weight loss with lifestyle change recommended.,positive
Clarithromycin,Strep Throat,"I was so poorly I was shaking, sweating, cough, sore throat, sinusitis, migraine ... you name it! It hit me like a ton of bricks. After trip to out of hours doctor via 111 phone call I was prescribed these antibiotics. End of day 2 and I was feeling much better and by day 4 taking the medicine back at work and almost feeling fully recovered. Apart of a bad taste in my mouth and thirsty, no other side effect :)",10,8,Effective treatment with minor side effects.,positive
Colesevelam,"Diarrhea, Chronic","My story is similar to others. The first thing I would locate in a store or a restaurant was the bathroom because I knew I would have to go before we left there. I even turned down job opportunities because the bathroom was too far away from where I would sit in fear that I wouldn't make it in time. That is no way to live. After a colonoscopy and stool lab results my doctor put me on Welchol, which I call the poop pill. In my opinion, it is the miracle medicine. I take 3 every night before bedtime and I have not had any more issues. I can enjoy leaving the house and not worry about wearing white clothes. I am one happy camper!",10,8,"Effective treatment for chronic diarrhea, greatly improving daily life.",positive
Hydromorphone,Pain,was in the hospital ER forever ago.. extreme pain.. dr walked in looked at me.. gave the order.. and I had dilaudid injected into my thigh.. omg.. I could feel pressure but no pain.. none.. was so happy.. now.. I take dilaudid in pill form for chronic pain.. not nearly as effective.. but still good :D,10,10,Effective pain relief in ER; less effective orally but still,positive
Ciprodex,Otitis Externa,I had an outer ear infection..These drops made my left ear feel clogged up and ringing in my ear and ear pain. I would not recommend this medicine. I'm hoping it is temporary. ..,1,2,Caused ear discomfort; ineffective treatment.,negative
Cephalexin,Bladder Infection,"I am 9 weeks and was prescribed Keflex. It has worked, however I have also had major diarrhea everyday. Other than that, no other side effects for me..",6,8,Effective but causes daily diarrhea.,positive
Alesse,Birth Control,"NOT WORTH THE SIDE EFFECTS!! Seriously. My GP gave me Alesse because she had some packets that were sent to her for free. I thought ""Hey why not"" and took them. Well, second month was the worst. Gained probably 10lbs because I was constantly hungry. Became lethargic and it made me more depressed. That went away in the third month. Then the acne started. As someone who was on accutane and had relatively pimple-less skin, this pill brought up old wounds. Turns out this pill which is often persrcibed to TREAT acne, is one of the worst BC that causes acne. My skin is now 10x more oily and i have painful zits on my cheeks, chin and lips. Also my boobs have gotten bigger which I hate. The pill also causes me really bad cramps & my period was off.",4,2,Severe side effects outweigh minimal benefits.,negative
Armodafinil,ADHD,My initial QbTest score was 99. I was prescribed Vyvanse 20mg but was supposed to be taking 3/day. I misunderstood and only took 1 early in the morning on the day of my follow up test. I have Nuvigil that I take occasionally for shift work sleep disorder. I took one to help stay alert on my afternoon drive to the follow up test. My QbTest score dropped from 99 to 12. I am sure that the Nuvigil is responsible because the Vyvanse was taken at the lowest dose and several hours outside the time window.,10,2,Score dropped from 99 to 12 after taking Armodafinil.,negative
Copper,Birth Control,"I have had 2 Paraguard IUDs. Took the 1st one out to get pregnant, got the 2nd after my daughter was born. Both times, I had heavier periods, but it seemed better than hormonal birth control that makes me crazy. After 2 and a half years, I started having strange side effects. Lots of acne, dry skin, swollen lymph node, anxiety, depression, trouble sleeping, hopelessness. My doctor said that my swollen lymph node is associated with the liver. My acupuncturist said she thought I had liver congestion. I researched excess copper in the body. ALL. MY. SYMPTOMS. Had it removed within 2 days. Felt immediately better. My acne started healing within a few days. Not feeling depressed anymore. It was great until it wasn't.",2,5,Severe side effects requiring discontinuation of copper-based birth control.,negative
Ivermectin,Rosacea,"I was diagnosed with Rosacea over 20 years ago in college but it never really got bad until about two years ago. Orange-peel skin, redness and bumps were a lot more prevalent on my forehead,cheeks and chin. Soolantra was given to me by the 4th dermatologist I saw and within a week(hard to believe but true), all of my symptoms were so much better. He added Metrocream at my 6week follow up to help with redness, but honestly I think the Soolantra is the miracle cream. I have my younger complexion back again. And the company provided a $25 coupon to cover the entire cost each month",10,10,Miracle cream for severe Rosacea symptoms.,positive
Hydroxyzine,Anxiety,"I love this medicine! I was recently released from the hospital after doing a 1 week stay. Diagnosed with BPD and anxiety. This medicine is prescribed for me 50 mg 4 times a day. I don't take it unless truly needed during the day. This is my first time being on psychotropics. I take this along with Seroquel, Zoloft and Naltroxene. I've had maybe 4 panic attacks since being out of the hospital. I had them because I went to work the day after being released and I work in a sales environment. I didn't have my medicine on hand like I should have. I do notice that when I bring it, and take it. I am not sleepy, very mellow and even and relaxed. Thoughts are clearer and conversations more direct.",9,8,Effective anxiety relief with minimal side effects.,positive
Canagliflozin,"Diabetes, Type 2","Been on Invokana since August 20, 2013. I've lost 36 pounds since then & been able to discontinue taking my glimepiride (within 3 days of starting the Invokana), cut my metformin in half to 1000mg in the morning only, & have begun cutting the insulin from 30 units at bedtime to 20 or less. I still take Victoza in the morning. My A1c has gone from 10.2 to 7.6 and my triglycerides are near the top of the normal range. I have tried Bydureon & Byetta, but Invokana has been the first real successful medicine to help get my diabetes under control. Along with healthy eating choices & exercise, I am under 300lbs for the first time in too many years to count. If I can do this, so can you!",10,8,Effective diabetes management with substantial weight loss and reduced medication,positive
Nucynta,Pain,"It seemed okay. I was more alert than when using oxycodone. After three weeks, the side effects outweigh the positives. It was more psychotic than I had planned. After the 75 mg dose wore off, the drop off was steep. I felt very agitated and somewhat aggressive. Similar to prescribed amphetamine or steroid. It makes me so agitated that I have decided to go back to the Oxy. I also experienced some respiratory distress and diminished vision. Good try as an alternative but it is not for me. Kadian had similar reactions.",4,5,Mixed results with severe side effects.,negative
Bisacodyl,Constipation,"I am 20 years old, I took two of these women's laxatives. These things are DEADLY. I was on my way to my college tuition class,I took them three days prior I literally pooped my pants on the way there I was vomiting out of my car window I thought I had the flu I had forgotten about these laxatives I had taken I later changed and took my test. LOn my way home, I pooped my pants AGAIN I was crying and went home changed and layed on my bed and violently vomiting for hours. I fell asleep, and, I pooped my bed! I went to er, tested laxatives were out of my system! Two weeks later, I am still pooping my pants! Idk what to do I hope these have not caused irreparable damage. I reported to FDA as did my hospital. Please don't take them!!!!",1,1,Severe side effects causing incontinence and vomiting.,negative
Ethinyl estradiol / levonorgestrel,Birth Control,"Overall, Aviane works pretty well. My periods are average and I have had no weight loss or gain. The one side effect I have had is terrible acne! My face was pretty much clear when I started (I'd get minor breakouts around my period, but nothing bad). Within a couple of months of being on Aviane, my cheeks started breaking out really badly. I've never even had acne on my cheeks. It's painful and there's scarring. I've tried staying on it in hopes that my body would adjust and the breakouts would stop, but they've only gotten worse.",6,5,Effective birth control with severe acne side effects.,negative
Opana,Pain,"I have suffered with pain for many years and have tried almost everything. I started Opana in January of this year. In February my platlet count dropped to 3,000 with an equally low white count. This happened again in May. I have also had many gastrointestinal problems. The doctors after many tests can only say that Opana looks like the cause.",1,1,"Severe adverse reactions, likely due to Opana.",negative
Clindamycin,Surgical Prophylaxis,"2 pills 3x day- 5 days. Got 4 wisdom teeth removed. Day 1- 1st dose, pills were hard to swallow and a few minutes after I took the pills I got an upset stomach. 2nd dose was about the same but I got a rash on my face (cheeks). 3rd dose stomach pain got a little worse. Day 2 stomach pain got even worse with every dose. Day 3 morning dose was unbearably painful in my esophagus/stomach. Called my doctor and he told me to stop taking pills. I figured stomach/esophagus pain would go away since I'm not taking pills but its been 6 days since I stopped taking pills and I still have pain. A lot of pain when I eat and burp. Pain feels like a tightening and burning in my chest every time I swallow.",1,1,Ineffective prophylaxis with severe ongoing stomach pain.,negative
Lamotrigine,Borderline Personality Disorde,I was diagnosed with borderline personality disorder and was prescribed lamictal to stabilize my moods. I was having explosive reactions on a daily basis and morning depression. Today I wake up feeling content and happy. My mood episodes have greatly subsided and I feel like I can handle frustration a lot better. Also my relationship with my boyfriend has improved because of much less fighting and explosions on him. This medication is very helpful. Only side effect was some headaches and diarrhea.,9,8,Effective mood stabilizer with minor side effects.,positive
Mirena,Birth Control,"I am a 42 year old mother of 1. I had Mirena inserted in 2007 after I was done breast-feeding. I absolutely LOVED Mirena until recently. I didn't have to remember to take the pill daily and I felt it was the best way to prevent another pregnancy. A couple of months ago, I had a new one inserted after months of my husband complaining about the strings poking him. I don't know what made me look into it, but I realized that over the past 4 years I have gained over 35lbs.,my sex drive is almost non-existent, I am often dry during intercourse. I want to run to the ObGyn, but have to wait until next week to it removed. If you get one, be aware of your body's response to it following insertion.",3,3,"Weight gain, reduced libido, and vaginal dryness following Mirena insertion.",negative
Abilify,Depression,"I have suffered long term post trauma depression. Recently I ended up in a hospital for mental health. My psychologist decided to add Abilify 5 mg a day, I also take Lustral 100mg. Abilify started to work within 5 weeks. Brilliant. Before this medicine I was on the verge of suicide. Long may this good feeling last.",10,10,Life-changing relief from long-term post-trauma depression.,positive
